temps : 11:42:06.681789; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2496; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 793373662:793373782,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681806; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2497; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 586859843:586859963,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681823; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2498; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 1313429529:1313429649,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681839; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2499; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 599747608:599747728,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681856; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2500; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 1764270382:1764270502,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681872; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2501; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 1266534982:1266535102,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681889; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2502; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 1923888203:1923888323,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681906; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2503; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 477956184:477956304,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681924; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2504; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 1697346829:1697346949,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681941; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2505; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 1581732153:1581732273,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681958; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2506; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 2134846905:2134847025,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681975; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2507; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 5001436:5001556,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.681992; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2508; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 100084791:100084911,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.682008; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2509; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 1351883007:1351883127,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.682025; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2510; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 892547770:892547890,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.682041; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2511; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 203925976:203926096,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.682058; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2512; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 93263311:93263431,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.682075; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2513; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 589592255:589592375,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.682092; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2514; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 1666861586:1666861706,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
temps : 11:42:06.682108; Adresse Ip source : 190-0-175-100.gba.solunet.com.ar.2515; Adresse IP destinataire : 184.107.43.74.http:; flag : SYN;,Numéro de séquence : 1444571600:1444571720,; Taille de la fenêtre : 512,; Longueur du paquet : 120:;,Protocole :HTTP;;;
